id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,league,season
cadd666a,1,Dickson Abiama,NGA,FW,Greuther Fürth,22,1998,8.1,246,6,24,108,115,23,246,20,7,35.0,13,65.0,131,629,266,14,5,6,29,10,160,38,Matches,GER-BL1,21-22
dc38e3bc,2,Ragnar Ache,GER,"MF,FW",Eint Frankfurt,23,1998,2.9,117,1,7,46,65,17,117,11,6,54.5,5,45.5,72,450,176,8,5,3,16,9,97,29,Matches,GER-BL1,21-22
2b09d998,3,Tyler Adams,USA,MF,RB Leipzig,22,1999,15.0,1062,28,184,739,150,10,1062,23,13,56.5,10,43.5,607,2825,1319,20,21,3,20,9,750,23,Matches,GER-BL1,21-22
22919e97,4,Sargis Adamyan,ARM,"FW,MF",Hoffenheim,28,1993,3.7,149,2,17,72,63,9,149,12,6,50.0,6,50.0,89,547,224,9,3,0,12,5,95,26,Matches,GER-BL1,21-22
dcfb17f4,5,Amine Adli,MAR,"FW,MF",Leverkusen,21,2000,14.0,729,9,116,347,282,57,729,37,21,56.8,16,43.2,456,2836,1731,51,29,15,47,18,531,105,Matches,GER-BL1,21-22
a6c58494,6,Naouirou Ahamada,FRA,"MF,DF",Stuttgart,19,2002,0.7,38,0,5,27,6,0,38,0,0,,0,,33,120,57,0,0,0,3,0,31,1,Matches,GER-BL1,21-22
89ac64a6,7,Manuel Akanji,SUI,DF,Dortmund,26,1995,25.1,2195,198,963,1182,65,21,2195,9,8,88.9,1,11.1,1517,7984,4478,18,12,0,8,1,1649,8,Matches,GER-BL1,21-22
6ec6fde0,8,Kevin Akpoguma,NGA,"DF,FW",Hoffenheim,26,1995,17.0,1139,54,364,525,257,34,1139,47,21,44.7,26,55.3,567,2745,1419,36,17,11,30,9,628,40,Matches,GER-BL1,21-22
834d0be5,9,Lucas Alario,ARG,FW,Leverkusen,28,1992,7.3,261,6,17,113,134,43,260,14,12,85.7,2,14.3,153,635,245,6,5,3,30,13,200,44,Matches,GER-BL1,21-22
555d5edd,10,Nadiem Amiri,GER,"MF,FW",Leverkusen,24,1996,4.1,277,1,44,155,81,6,277,12,3,25.0,9,75.0,183,1290,575,17,15,1,9,9,208,29,Matches,GER-BL1,21-22
b4cf5806,11,Sebastian Andersson,SWE,FW,Köln,30,1991,14.0,397,14,26,162,211,67,397,15,6,40.0,9,60.0,199,748,221,10,4,2,53,19,304,86,Matches,GER-BL1,21-22
6ea23758,12,Andrés Andrade Cedeño,PAN,DF,Arminia,22,1998,11.6,686,66,269,305,116,12,686,18,9,50.0,9,50.0,293,1614,864,18,9,2,15,7,290,15,Matches,GER-BL1,21-22
3724baa1,13,Fredrik André Bjørkan,NOR,DF,Hertha BSC,22,1998,3.9,215,14,91,93,37,2,215,9,4,44.4,5,55.6,88,755,449,11,6,0,7,3,104,10,Matches,GER-BL1,21-22
e0b113a7,14,Robert Andrich,GER,MF,Leverkusen,26,1994,20.2,1216,66,329,727,170,26,1216,14,13,92.9,1,7.1,592,2502,1261,19,14,2,13,9,745,27,Matches,GER-BL1,21-22
30941e96,15,Angeliño,ESP,DF,RB Leipzig,24,1997,25.5,1708,46,401,703,617,60,1708,19,14,73.7,5,26.3,782,2986,1429,35,21,11,30,19,1039,177,Matches,GER-BL1,21-22
5e66fa06,16,Waldemar Anton,GER,DF,Stuttgart,25,1996,28.8,2152,295,1116,969,95,34,2152,22,17,77.3,5,22.7,1356,7662,3975,26,14,0,25,13,1405,12,Matches,GER-BL1,21-22
0a3f6cde,17,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,27,1994,12.6,430,4,40,150,246,46,430,32,13,40.6,19,59.4,237,1673,772,35,16,13,51,18,273,85,Matches,GER-BL1,21-22
56413b1f,18,Charles Aránguiz,CHI,MF,Leverkusen,32,1989,17.5,1281,32,322,814,152,14,1281,9,7,77.8,2,22.2,675,2342,915,6,12,0,22,8,830,14,Matches,GER-BL1,21-22
86e119e0,19,Maximilian Arnold,GER,MF,Wolfsburg,27,1994,33.3,2158,104,510,1276,397,5,2158,14,12,85.7,2,14.3,1104,4711,2079,18,28,2,31,17,1267,24,Matches,GER-BL1,21-22
13ddc856,20,Takuma Asano,JPN,"FW,MF",Bochum,26,1994,17.9,580,6,67,248,285,56,580,36,20,55.6,16,44.4,371,2795,1284,48,26,16,60,19,396,109,Matches,GER-BL1,21-22
e26fcca3,21,Santiago Ascacíbar,ARG,MF,Hertha BSC,24,1997,26.4,1460,81,457,863,155,16,1460,23,12,52.2,11,47.8,620,2369,998,13,8,2,26,13,769,20,Matches,GER-BL1,21-22
35f67a30,22,Fisnik Asllani,KVX,"MF,FW",Hoffenheim,18,2002,0.1,9,0,0,4,5,0,9,1,0,0.0,1,100.0,7,15,3,0,0,0,0,0,9,2,Matches,GER-BL1,21-22
dfc85b89,23,Simon Asta,GER,DF,Greuther Fürth,20,2001,8.7,481,22,156,215,115,11,481,5,4,80.0,1,20.0,191,966,472,7,6,3,8,3,225,37,Matches,GER-BL1,21-22
e5478b87,24,Taiwo Awoniyi,NGA,FW,Union Berlin,23,1997,24.2,829,32,56,393,396,129,827,63,35,55.6,28,44.4,501,2643,1004,36,23,19,140,41,609,171,Matches,GER-BL1,21-22
10549b49,25,Sardar Azmoun,IRN,"FW,MF",Leverkusen,26,1995,4.0,151,9,20,78,54,16,151,6,4,66.7,2,33.3,73,457,279,8,4,2,6,2,105,22,Matches,GER-BL1,21-22
a8567629,26,Mitchel Bakker,NED,DF,Leverkusen,21,2000,20.2,1443,66,389,778,292,26,1443,49,28,57.1,21,42.9,768,3441,1719,38,30,4,36,14,894,95,Matches,GER-BL1,21-22
442b56fa,27,Ridle Baku,GER,"DF,FW",Wolfsburg,23,1998,27.2,1702,50,461,740,517,60,1702,71,36,50.7,35,49.3,920,4838,2368,74,40,16,60,23,991,171,Matches,GER-BL1,21-22
a2a85828,28,Aymen Barkok,MAR,"MF,DF",Eint Frankfurt,23,1998,1.8,103,7,25,52,30,0,103,7,4,57.1,3,42.9,52,414,176,3,5,0,5,8,52,3,Matches,GER-BL1,21-22
00242b75,29,Leandro Barreiro Martins,LUX,MF,Mainz 05,21,2000,19.9,806,31,187,396,231,37,806,13,5,38.5,8,61.5,378,1542,636,15,13,1,41,13,410,53,Matches,GER-BL1,21-22
c0d3bd23,30,Jacob Barrett Laursen,DEN,DF,Arminia,26,1994,18.1,945,59,295,444,214,7,945,23,12,52.2,11,47.8,364,1821,819,25,11,0,16,5,409,24,Matches,GER-BL1,21-22
8df328f4,31,Abdourahmane Barry,GUI,DF,Greuther Fürth,21,2000,2.3,147,14,47,62,40,4,147,4,1,25.0,3,75.0,74,328,158,3,2,1,9,2,71,12,Matches,GER-BL1,21-22
44a20f0c,32,Maximilian Bauer,GER,DF,Greuther Fürth,21,2000,18.8,1102,164,685,401,20,12,1102,2,1,50.0,1,50.0,601,2610,1135,4,3,0,5,2,634,0,Matches,GER-BL1,21-22
47064058,33,Oliver Baumann,GER,GK,Hoffenheim,31,1990,33.0,1609,1277,1592,23,0,0,1609,1,1,100.0,0,0.0,1005,4395,2397,0,0,0,0,0,895,0,Matches,GER-BL1,21-22
