id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Unnamed: league,Unnamed: season
68c720b5,30,Adam Armstrong,ENG,"FW,MF",Southampton,25,1997,14.8,2,25,12,48.0,1.69,0.81,0.08,0.17,15.9,0,0,0,2.1,2.1,0.08,-0.1,-0.1,Matches,ENG-EPL,22-23
97333cf5,31,Stuart Armstrong,SCO,"MF,FW",Southampton,30,1992,15.6,2,23,6,26.1,1.47,0.38,0.09,0.33,17.9,0,0,0,2.4,2.4,0.1,-0.4,-0.4,Matches,ENG-EPL,22-23
28d596a0,32,Kepa Arrizabalaga,ESP,GK,Chelsea,27,1994,28.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
d5dd5f1f,33,Pierre-Emerick Aubameyang,GAB,FW,Chelsea,33,1989,6.2,1,16,7,43.8,2.6,1.14,0.06,0.14,13.7,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches,ENG-EPL,22-23
9fec8860,34,Ludwig Augustinsson,SWE,DF,Aston Villa,28,1994,0.9,0,2,1,50.0,2.34,1.17,0.0,0.0,12.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,ENG-EPL,22-23
5c2b4f07,35,Serge Aurier,CIV,DF,Nott'ham Forest,29,1992,21.6,1,9,3,33.3,0.42,0.14,0.11,0.33,16.2,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches,ENG-EPL,22-23
e5478b87,36,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,24,1997,15.6,10,35,15,42.9,2.24,0.96,0.29,0.67,11.8,0,0,0,6.6,6.6,0.19,3.4,3.4,Matches,ENG-EPL,22-23
f173303a,37,Yasin Ayari,SWE,MF,Brighton,18,2003,0.7,0,1,0,0.0,1.34,0.0,0.0,,29.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,ENG-EPL,22-23
5dbefa9d,38,André Ayew,GHA,"FW,MF",Nott'ham Forest,32,1989,3.5,0,3,1,33.3,0.85,0.28,0.0,0.0,19.3,0,0,1,1.0,0.3,0.09,-1.0,-0.3,Matches,ENG-EPL,22-23
da052c14,39,Jordan Ayew,GHA,"FW,MF",Crystal Palace,30,1991,30.2,4,32,10,31.3,1.06,0.33,0.13,0.4,16.1,0,0,0,3.2,3.2,0.1,0.8,0.8,Matches,ENG-EPL,22-23
420d7c7d,40,Luke Ayling,ENG,DF,Leeds United,30,1991,22.8,2,24,5,20.8,1.05,0.22,0.08,0.4,15.1,0,0,0,3.2,3.2,0.13,-1.2,-1.2,Matches,ENG-EPL,22-23
53cad200,41,César Azpilicueta,ESP,DF,Chelsea,32,1989,17.0,0,9,1,11.1,0.53,0.06,0.0,0.0,18.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,ENG-EPL,22-23
06df8256,42,Benoît Badiashile,FRA,DF,Chelsea,21,2001,10.1,1,6,2,33.3,0.6,0.2,0.17,0.5,7.2,0,0,0,1.2,1.2,0.2,-0.2,-0.2,Matches,ENG-EPL,22-23
3a233281,43,Leon Bailey,JAM,"FW,MF",Aston Villa,24,1997,21.9,4,51,14,27.5,2.33,0.64,0.08,0.29,18.1,3,0,0,5.3,5.3,0.1,-1.3,-1.3,Matches,ENG-EPL,22-23
32e8417f,44,Stefan Bajcetic,ESP,MF,Liverpool,17,2004,5.8,1,6,3,50.0,1.03,0.51,0.17,0.33,24.5,0,0,0,0.8,0.8,0.13,0.2,0.2,Matches,ENG-EPL,22-23
ed8d597c,45,Dominic Ballard,ENG,"FW,MF",Southampton,17,2005,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
93feac6e,46,Patrick Bamford,ENG,FW,Leeds United,28,1993,16.8,4,48,16,33.3,2.85,0.95,0.08,0.25,14.7,1,0,2,8.5,6.9,0.15,-4.5,-2.9,Matches,ENG-EPL,22-23
2886c9b5,47,Shandon Baptiste,GRN,MF,Brentford,24,1998,6.9,0,4,1,25.0,0.58,0.15,0.0,0.0,15.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,ENG-EPL,22-23
3ea50f67,48,Harvey Barnes,ENG,"FW,MF",Leicester City,24,1997,30.1,13,72,34,47.2,2.39,1.13,0.18,0.38,15.9,0,0,0,8.9,8.9,0.12,4.1,4.1,Matches,ENG-EPL,22-23
c91441dc,49,Gavin Bazunu,IRL,GK,Southampton,20,2002,32.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
30db8574,50,Mads Bech Sørensen,DEN,"DF,MF",Brentford,23,1999,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
4115ce4e,51,Jan Bednarek,POL,DF,Southampton,26,1996,18.6,0,8,0,0.0,0.43,0.0,0.0,,14.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,ENG-EPL,22-23
4115ce4e,52,Jan Bednarek,POL,DF,Aston Villa,26,1996,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
50dc94ce,53,Donny van de Beek,NED,MF,Manchester Utd,25,1997,1.9,0,2,0,0.0,1.08,0.0,0.0,,10.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,ENG-EPL,22-23
7b4de647,54,Asmir Begović,BIH,GK,Everton,35,1987,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
a39d11bc,55,Armel Bella Kotchap,GER,DF,Southampton,20,2001,20.9,0,14,2,14.3,0.67,0.1,0.0,0.0,16.1,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches,ENG-EPL,22-23
5a04fd92,56,Saïd Benrahma,ALG,"FW,MF",West Ham,26,1995,23.0,6,69,23,33.3,3.0,1.0,0.03,0.09,21.9,5,4,4,7.0,3.9,0.06,-1.0,-1.9,Matches,ENG-EPL,22-23
3b8674e6,57,Rodrigo Bentancur,URU,MF,Tottenham,25,1997,16.7,5,15,9,60.0,0.9,0.54,0.33,0.56,15.8,0,0,0,2.2,2.2,0.15,2.8,2.8,Matches,ENG-EPL,22-23
68db6358,58,Daniel Bentley,ENG,GK,Wolves,29,1993,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
505486d6,59,Victor Bernth Kristiansen,DEN,DF,Leicester City,19,2002,9.9,0,3,0,0.0,0.3,0.0,0.0,,18.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,ENG-EPL,22-23
87966294,60,Owen Bevan,WAL,DF,Bournemouth,18,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
de40e38c,61,Giulian Biancone,FRA,DF,Nott'ham Forest,22,2000,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
d328a254,62,Philip Billing,DEN,"MF,FW",Bournemouth,26,1996,30.7,7,38,18,47.4,1.24,0.59,0.18,0.39,18.3,5,0,0,4.9,4.9,0.13,2.1,2.1,Matches,ENG-EPL,22-23
6c203af0,63,Yves Bissouma,MLI,MF,Tottenham,25,1996,11.2,0,6,0,0.0,0.53,0.0,0.0,,26.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,ENG-EPL,22-23
a4ac4b8f,64,Willy Boly,CIV,DF,Nott'ham Forest,31,1991,7.6,0,2,1,50.0,0.26,0.13,0.0,0.0,16.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,ENG-EPL,22-23
ccce7025,65,Sven Botman,NED,DF,Newcastle Utd,22,2000,34.7,0,22,7,31.8,0.63,0.2,0.0,0.0,10.2,0,0,0,2.5,2.5,0.11,-2.5,-2.5,Matches,ENG-EPL,22-23
79c84d1c,66,Jarrod Bowen,ENG,"FW,MF",West Ham,25,1996,35.9,6,73,21,28.8,2.03,0.58,0.07,0.24,16.2,1,1,2,8.9,7.8,0.11,-2.9,-2.8,Matches,ENG-EPL,22-23
c07b7c5c,67,James Bree,ENG,DF,Southampton,24,1997,4.1,0,1,1,100.0,0.25,0.25,0.0,0.0,25.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,ENG-EPL,22-23
97220da2,68,Armando Broja,ALB,FW,Chelsea,20,2001,3.3,1,6,5,83.3,1.84,1.53,0.17,0.2,11.0,0,0,0,0.8,0.8,0.14,0.2,0.2,Matches,ENG-EPL,22-23
dc4cae05,69,David Brooks,WAL,"FW,MF",Bournemouth,25,1997,1.9,0,5,1,20.0,2.6,0.52,0.0,0.0,20.6,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,ENG-EPL,22-23
a2081c6b,70,Lewis Brunt,ENG,DF,Leicester City,21,2000,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
66b76d44,71,Emi Buendía,ARG,"MF,FW",Aston Villa,25,1996,26.8,5,49,11,22.4,1.83,0.41,0.1,0.45,15.9,2,0,0,6.3,6.3,0.13,-1.3,-1.3,Matches,ENG-EPL,22-23
bfc3b3a0,72,Hugo Bueno,ESP,DF,Wolves,19,2002,14.6,0,4,1,25.0,0.27,0.07,0.0,0.0,18.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,ENG-EPL,22-23
468a7a91,73,Facundo Buonanotte,ARG,"FW,MF",Brighton,17,2004,6.3,1,11,3,27.3,1.75,0.48,0.09,0.33,16.9,0,0,0,1.4,1.4,0.13,-0.4,-0.4,Matches,ENG-EPL,22-23
b2d31e83,74,Dan Burn,ENG,DF,Newcastle Utd,30,1992,34.6,1,21,4,19.0,0.61,0.12,0.05,0.25,12.2,0,0,0,2.1,2.1,0.1,-1.1,-1.1,Matches,ENG-EPL,22-23
85322440,75,Cafú,POR,MF,Nott'ham Forest,29,1993,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
16264a81,76,Moisés Caicedo,ECU,MF,Brighton,20,2001,34.9,1,28,8,28.6,0.8,0.23,0.04,0.13,23.9,0,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches,ENG-EPL,22-23
a8748947,77,Tom Cairney,SCO,MF,Fulham,31,1991,11.0,2,21,2,9.5,1.91,0.18,0.1,1.0,18.6,0,0,0,1.5,1.5,0.07,0.5,0.5,Matches,ENG-EPL,22-23
94f8d10c,78,Duje Ćaleta-Car,CRO,DF,Southampton,25,1996,10.5,1,5,2,40.0,0.48,0.19,0.2,0.5,12.3,0,0,0,0.8,0.8,0.16,0.2,0.2,Matches,ENG-EPL,22-23
59e6e5bf,79,Dominic Calvert-Lewin,ENG,FW,Everton,25,1997,12.9,2,30,9,30.0,2.32,0.7,0.03,0.11,11.8,0,1,1,5.8,5.0,0.17,-3.8,-4.0,Matches,ENG-EPL,22-23
6f711f67,80,Chem Campbell,WAL,"FW,MF",Wolves,19,2002,0.8,0,2,0,0.0,2.43,0.0,0.0,,11.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,ENG-EPL,22-23
bd6351cd,81,João Cancelo,POR,DF,Manchester City,28,1994,14.2,2,17,3,17.6,1.2,0.21,0.12,0.67,22.7,0,0,0,0.8,0.8,0.05,1.2,1.2,Matches,ENG-EPL,22-23
4506aec5,82,Thomas Cannon,IRL,FW,Everton,19,2002,0.3,0,1,1,100.0,3.6,3.6,0.0,0.0,10.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,ENG-EPL,22-23
1137759d,83,Sergi Canós,ESP,"FW,DF",Brentford,25,1997,0.9,0,1,0,0.0,1.17,0.0,0.0,,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,ENG-EPL,22-23
b4a014b1,84,Diego Carlos,BRA,DF,Aston Villa,29,1993,2.3,0,4,0,0.0,1.76,0.0,0.0,,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,ENG-EPL,22-23
966e28d0,85,Fabio Carvalho,POR,"MF,FW",Liverpool,19,2002,3.9,2,11,4,36.4,2.85,1.04,0.18,0.5,11.5,0,0,0,1.1,1.1,0.1,0.9,0.9,Matches,ENG-EPL,22-23
4d224fe8,86,Casemiro,BRA,MF,Manchester Utd,30,1992,23.6,4,34,11,32.4,1.44,0.47,0.12,0.36,21.6,0,0,0,3.4,3.4,0.1,0.6,0.6,Matches,ENG-EPL,22-23
2389cdc2,87,Matty Cash,POL,DF,Aston Villa,24,1997,20.2,0,7,1,14.3,0.35,0.05,0.0,0.0,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,ENG-EPL,22-23
197640fd,88,Timothy Castagne,BEL,DF,Leicester City,26,1995,36.2,2,19,5,26.3,0.53,0.14,0.11,0.4,11.0,0,0,0,2.2,2.2,0.12,-0.2,-0.2,Matches,ENG-EPL,22-23
e28868f3,89,Jonny Castro,ESP,DF,Wolves,28,1994,14.0,1,9,2,22.2,0.64,0.14,0.11,0.5,24.1,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches,ENG-EPL,22-23
422862ea,90,Nathaniel Chalobah,ENG,MF,Fulham,27,1994,0.1,0,1,1,100.0,7.5,7.5,0.0,0.0,10.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,ENG-EPL,22-23
5515376c,91,Trevoh Chalobah,ENG,DF,Chelsea,23,1999,17.9,0,9,2,22.2,0.5,0.11,0.0,0.0,9.6,0,0,0,0.9,0.9,0.1,-0.9,-0.9,Matches,ENG-EPL,22-23
dc6f5bdd,92,Calum Chambers,ENG,"DF,MF",Aston Villa,27,1995,3.9,0,2,0,0.0,0.51,0.0,0.0,,21.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,ENG-EPL,22-23
5cc3ce65,93,Shea Charles,NIR,DF,Manchester City,18,2003,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
d2424d1b,94,Ben Chilwell,ENG,"DF,MF",Chelsea,25,1996,15.6,2,16,4,25.0,1.02,0.26,0.13,0.5,16.1,0,0,0,1.4,1.4,0.09,0.6,0.6,Matches,ENG-EPL,22-23
26ce2263,95,Ryan Christie,SCO,"MF,FW",Bournemouth,27,1995,20.4,1,33,9,27.3,1.62,0.44,0.03,0.11,14.0,0,0,0,2.7,2.7,0.08,-1.7,-1.7,Matches,ENG-EPL,22-23
b2f9c73e,96,Carney Chukwuemeka,ENG,"MF,FW",Chelsea,18,2003,3.9,0,5,1,20.0,1.27,0.25,0.0,0.0,17.2,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,ENG-EPL,22-23
73341ace,97,Bobby Clark,ENG,MF,Liverpool,17,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
0442183b,98,Nathaniel Clyne,ENG,DF,Crystal Palace,31,1991,18.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
2928dca2,99,Conor Coady,ENG,DF,Everton,29,1993,23.3,1,4,2,50.0,0.17,0.09,0.25,0.5,8.5,0,0,0,0.8,0.8,0.21,0.2,0.2,Matches,ENG-EPL,22-23
963a9201,100,Jack Colback,ENG,MF,Nott'ham Forest,32,1989,5.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
0420d84f,101,Séamus Coleman,IRL,DF,Everton,33,1988,18.4,1,7,2,28.6,0.38,0.11,0.14,0.5,21.9,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches,ENG-EPL,22-23
a8c19eb8,102,Nathan Collins,IRL,DF,Wolves,21,2001,20.2,0,3,0,0.0,0.15,0.0,0.0,,9.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,ENG-EPL,22-23
700783e7,103,Levi Colwill,ENG,DF,Brighton,19,2003,13.6,0,8,0,0.0,0.59,0.0,0.0,,7.0,0,0,0,1.4,1.4,0.18,-1.4,-1.4,Matches,ENG-EPL,22-23
2afc7272,104,Lewis Cook,ENG,MF,Bournemouth,25,1997,19.1,0,6,0,0.0,0.31,0.0,0.0,,28.7,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,ENG-EPL,22-23
3e5e4e63,105,Steve Cook,ENG,DF,Nott'ham Forest,31,1991,10.6,0,3,0,0.0,0.28,0.0,0.0,,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,ENG-EPL,22-23
dc64b8b3,106,Liam Cooper,SCO,DF,Leeds United,30,1991,15.8,1,10,2,20.0,0.63,0.13,0.1,0.5,9.5,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches,ENG-EPL,22-23
beb391dd,107,Maxwel Cornet,CIV,FW,West Ham,25,1996,2.7,0,9,2,22.2,3.31,0.73,0.0,0.0,12.5,0,0,0,1.3,1.3,0.14,-1.3,-1.3,Matches,ENG-EPL,22-23
a190d597,108,Diego Costa,ESP,FW,Wolves,33,1988,13.8,1,28,14,50.0,2.03,1.02,0.04,0.07,12.0,0,0,0,3.2,3.2,0.11,-2.2,-2.2,Matches,ENG-EPL,22-23
fdf3cb77,109,Vladimír Coufal,CZE,DF,West Ham,29,1992,23.7,0,6,0,0.0,0.25,0.0,0.0,,25.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,ENG-EPL,22-23
0ef89a37,110,Philippe Coutinho,BRA,"MF,FW",Aston Villa,30,1992,8.8,1,21,8,38.1,2.4,0.91,0.05,0.13,21.6,2,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches,ENG-EPL,22-23
a5ca9127,111,Conor Coventry,IRL,"MF,FW",West Ham,22,2000,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
bc914523,112,Matthew Craig,SCO,MF,Tottenham,19,2003,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ENG-EPL,22-23
4f974391,113,Aaron Cresswell,ENG,DF,West Ham,32,1989,24.8,0,9,1,11.1,0.36,0.04,0.0,0.0,22.5,4,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,ENG-EPL,22-23
1daec722,114,Marc Cucurella,ESP,DF,Chelsea,24,1998,18.6,0,7,0,0.0,0.38,0.0,0.0,,19.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,ENG-EPL,22-23
dc62b55d,115,Matheus Cunha,BRA,FW,Wolves,23,1999,10.7,2,26,7,26.9,2.42,0.65,0.08,0.29,19.4,0,0,0,2.0,2.0,0.08,0.0,0.0,Matches,ENG-EPL,22-23
ca45605e,116,Patson Daka,ZAM,FW,Leicester City,23,1998,13.2,4,30,16,53.3,2.27,1.21,0.13,0.25,14.6,0,0,0,3.5,3.5,0.12,0.5,0.5,Matches,ENG-EPL,22-23
d9565625,117,Diogo Dalot,POR,DF,Manchester Utd,23,1999,23.9,1,22,7,31.8,0.92,0.29,0.05,0.14,19.9,0,0,0,2.5,2.5,0.11,-1.5,-1.5,Matches,ENG-EPL,22-23
215f3907,118,Mikkel Damsgaard,DEN,"MF,FW",Brentford,22,2000,11.0,0,12,5,41.7,1.09,0.46,0.0,0.0,15.0,0,0,0,2.6,2.6,0.22,-2.6,-2.6,Matches,ENG-EPL,22-23
a816dbfb,119,Danilo,BRA,MF,Nott'ham Forest,21,2001,10.8,3,15,4,26.7,1.38,0.37,0.2,0.75,20.4,0,0,0,1.5,1.5,0.1,1.5,1.5,Matches,ENG-EPL,22-23
f08490a6,120,Arnaut Danjuma,NED,"FW,MF",Tottenham,25,1997,1.9,1,6,3,50.0,3.2,1.6,0.17,0.33,14.2,0,0,0,0.8,0.8,0.14,0.2,0.2,Matches,ENG-EPL,22-23
60344e4f,121,Josh Dasilva,ENG,MF,Brentford,23,1998,15.4,4,18,6,33.3,1.17,0.39,0.22,0.67,19.8,0,0,0,1.5,1.5,0.09,2.5,2.5,Matches,ENG-EPL,22-23
e82900ef,122,David Datro Fofana,CIV,FW,Chelsea,19,2002,0.8,0,3,1,33.3,3.86,1.29,0.0,0.0,19.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,ENG-EPL,22-23
