Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Bundesliga,1,Fri,2021-08-13,20:30,Gladbach,2.3,1–1,2.5,Bayern Munich,22925,Stadion im Borussia-Park,Marco Fritz,/en/matches/82c5d82c/Monchengladbach-Bayern-Munich-August-13-2021-Bundesliga,,GER-BL1,21-22
Bundesliga,1,Sat,2021-08-14,15:30,Stuttgart,3.0,5–1,1.2,Greuther Fürth,18109,Mercedes-Benz Arena,Felix Zwayer,/en/matches/51fae469/Stuttgart-Greuther-Furth-August-14-2021-Bundesliga,,GER-BL1,21-22
Bundesliga,1,Sat,2021-08-14,15:30,Union Berlin,0.5,1–1,0.8,Leverkusen,11000,Stadion An der Alten Försterei,Tobias Reichel,/en/matches/5d7bd7fa/Union-Berlin-Bayer-Leverkusen-August-14-2021-Bundesliga,,GER-BL1,21-22
Bundesliga,1,Sat,2021-08-14,15:30,Wolfsburg,2.0,1–0,0.4,Bochum,8536,Volkswagen Arena,Frank Willenborg,/en/matches/d1f94768/Wolfsburg-Bochum-August-14-2021-Bundesliga,,GER-BL1,21-22
Bundesliga,1,Sat,2021-08-14,15:30,Arminia,0.4,0–0,1.6,Freiburg,13750,SchücoArena,Sven Jablonski,/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga,,GER-BL1,21-22
Bundesliga,1,Sat,2021-08-14,15:30,Augsburg,0.6,0–4,3.8,Hoffenheim,9124,WWK Arena,Felix Brych,/en/matches/eee6b64c/Augsburg-Hoffenheim-August-14-2021-Bundesliga,,GER-BL1,21-22
Bundesliga,1,Sat,2021-08-14,18:30,Dortmund,2.7,5–2,1.3,Eint Frankfurt,25000,Signal Iduna Park,Tobias Stieler,/en/matches/40d5c11f/Dortmund-Eintracht-Frankfurt-August-14-2021-Bundesliga,,GER-BL1,21-22
Bundesliga,1,Sun,2021-08-15,15:30,Mainz 05,1.2,1–0,1.1,RB Leipzig,10500,Mewa Arena,Daniel Siebert,/en/matches/c1cd7950/Mainz-05-RB-Leipzig-August-15-2021-Bundesliga,,GER-BL1,21-22
Bundesliga,1,Sun,2021-08-15,17:30,Köln,1.6,3–1,1.8,Hertha BSC,16500,RheinEnergieSTADION,Robert Hartmann,/en/matches/a4e198c5/Koln-Hertha-BSC-August-15-2021-Bundesliga,,GER-BL1,21-22
Bundesliga,2,Fri,2021-08-20,20:30,RB Leipzig,3.6,4–0,1.1,Stuttgart,23100,Red Bull Arena,Florian Badstübner,/en/matches/6350c527/RB-Leipzig-Stuttgart-August-20-2021-Bundesliga,,GER-BL1,21-22
