id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
555d5edd,10,Nadiem Amiri,GER,"MF,FW",Leverkusen,24,1996,4.1,7,1.71,5,1,0,0,1,0,1,0.24,0,0,0,0,1,0,Matches,GER-BL1,21-22
b4cf5806,11,Sebastian Andersson,SWE,FW,Köln,30,1991,14.0,20,1.43,16,0,0,1,2,1,4,0.29,3,0,0,0,1,0,Matches,GER-BL1,21-22
6ea23758,12,Andrés Andrade Cedeño,PAN,DF,Arminia,22,1998,11.6,7,0.6,6,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches,GER-BL1,21-22
3724baa1,13,Fredrik André Bjørkan,NOR,DF,Hertha BSC,22,1998,3.9,10,2.55,8,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
e0b113a7,14,Robert Andrich,GER,MF,Leverkusen,26,1994,20.2,38,1.88,27,0,2,5,3,1,6,0.3,3,0,0,3,0,0,Matches,GER-BL1,21-22
30941e96,15,Angeliño,ESP,DF,RB Leipzig,24,1997,25.5,83,3.25,53,22,3,4,1,0,8,0.31,5,3,0,0,0,0,Matches,GER-BL1,21-22
5e66fa06,16,Waldemar Anton,GER,DF,Stuttgart,25,1996,28.8,37,1.28,31,0,1,2,2,1,2,0.07,2,0,0,0,0,0,Matches,GER-BL1,21-22
0a3f6cde,17,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,27,1994,12.6,26,2.25,15,1,1,3,6,0,2,0.17,1,0,0,0,1,0,Matches,GER-BL1,21-22
56413b1f,18,Charles Aránguiz,CHI,MF,Leverkusen,32,1989,17.5,41,2.34,35,3,1,1,1,0,6,0.34,5,0,1,0,0,0,Matches,GER-BL1,21-22
86e119e0,19,Maximilian Arnold,GER,MF,Wolfsburg,27,1994,33.3,106,3.19,56,45,2,0,3,0,4,0.12,2,1,0,0,1,0,Matches,GER-BL1,21-22
13ddc856,20,Takuma Asano,JPN,"FW,MF",Bochum,26,1994,17.9,49,2.74,35,0,4,6,3,1,7,0.39,6,0,0,0,1,0,Matches,GER-BL1,21-22
e26fcca3,21,Santiago Ascacíbar,ARG,MF,Hertha BSC,24,1997,26.4,39,1.48,32,1,1,1,2,2,1,0.04,1,0,0,0,0,0,Matches,GER-BL1,21-22
35f67a30,22,Fisnik Asllani,KVX,"MF,FW",Hoffenheim,18,2002,0.1,1,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
dfc85b89,23,Simon Asta,GER,DF,Greuther Fürth,20,2001,8.7,11,1.26,8,3,0,0,0,0,1,0.11,0,1,0,0,0,0,Matches,GER-BL1,21-22
e5478b87,24,Taiwo Awoniyi,NGA,FW,Union Berlin,23,1997,24.2,68,2.82,46,0,8,11,3,0,6,0.25,2,0,2,1,1,0,Matches,GER-BL1,21-22
10549b49,25,Sardar Azmoun,IRN,"FW,MF",Leverkusen,26,1995,4.0,13,3.26,12,0,0,1,0,0,1,0.25,1,0,0,0,0,0,Matches,GER-BL1,21-22
a8567629,26,Mitchel Bakker,NED,DF,Leverkusen,21,2000,20.2,37,1.83,34,0,1,1,1,0,6,0.3,6,0,0,0,0,0,Matches,GER-BL1,21-22
442b56fa,27,Ridle Baku,GER,"DF,FW",Wolfsburg,23,1998,27.2,82,3.02,60,4,4,7,7,0,9,0.33,5,0,0,1,3,0,Matches,GER-BL1,21-22
a2a85828,28,Aymen Barkok,MAR,"MF,DF",Eint Frankfurt,23,1998,1.8,3,1.69,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
00242b75,29,Leandro Barreiro Martins,LUX,MF,Mainz 05,21,2000,19.9,32,1.61,19,0,2,5,5,1,4,0.2,2,0,0,0,2,0,Matches,GER-BL1,21-22
c0d3bd23,30,Jacob Barrett Laursen,DEN,DF,Arminia,26,1994,18.1,22,1.21,12,9,1,0,0,0,1,0.06,1,0,0,0,0,0,Matches,GER-BL1,21-22
8df328f4,31,Abdourahmane Barry,GUI,DF,Greuther Fürth,21,2000,2.3,3,1.29,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
44a20f0c,32,Maximilian Bauer,GER,DF,Greuther Fürth,21,2000,18.8,8,0.43,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
47064058,33,Oliver Baumann,GER,GK,Hoffenheim,31,1990,33.0,2,0.06,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
bd7d2e6d,34,Timo Baumgartl,GER,DF,Union Berlin,25,1996,24.1,29,1.2,20,1,2,5,0,1,2,0.08,1,0,0,1,0,0,Matches,GER-BL1,21-22
69374ff5,35,Julian Baumgartlinger,AUT,"MF,FW",Leverkusen,33,1988,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
437f2b00,36,Christoph Baumgartner,AUT,"MF,FW",Hoffenheim,21,1999,21.0,53,2.53,43,0,3,1,4,2,4,0.19,3,0,0,0,0,1,Matches,GER-BL1,21-22
fbbc8e15,37,Noah Joel Sarenren Bazee,NGA,"MF,FW",Augsburg,24,1996,2.7,5,1.86,3,0,0,0,1,1,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
a53b661f,38,Ihlas Bebou,TOG,"FW,DF",Hoffenheim,27,1994,23.2,57,2.45,41,2,6,6,2,0,7,0.3,4,0,1,2,0,0,Matches,GER-BL1,21-22
8eb55dbb,39,Sheraldo Becker,SUR,"FW,MF",Union Berlin,26,1995,19.5,72,3.69,59,0,3,2,8,0,11,0.56,9,0,2,0,0,0,Matches,GER-BL1,21-22
30ae134d,40,Kevin Behrens,GER,FW,Union Berlin,30,1991,5.5,21,3.79,15,0,3,2,1,0,5,0.9,2,0,1,1,1,0,Matches,GER-BL1,21-22
ff182fdc,41,Ishak Belfodil,ALG,FW,Hertha BSC,29,1992,18.2,53,2.92,41,0,4,5,2,1,8,0.44,4,0,1,1,1,1,Matches,GER-BL1,21-22
857a5abe,42,Stefan Bell,GER,DF,Mainz 05,29,1991,31.8,23,0.72,21,0,0,2,0,0,2,0.06,1,0,0,1,0,0,Matches,GER-BL1,21-22
a39d11bc,43,Armel Bella Kotchap,GER,DF,Bochum,19,2001,19.6,10,0.54,9,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
bee0bab1,44,Karim Bellarabi,GER,"FW,MF",Leverkusen,31,1990,7.6,28,3.69,15,0,2,6,4,1,4,0.53,2,0,0,1,1,0,Matches,GER-BL1,21-22
57d88cf9,45,Jude Bellingham,ENG,MF,Dortmund,18,2003,31.0,104,3.35,72,0,13,5,11,3,17,0.55,11,0,2,0,2,2,Matches,GER-BL1,21-22
aca0a525,46,George Bello,USA,DF,Arminia,19,2002,4.8,5,1.04,3,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
fe888e39,47,László Bénes,SVK,MF,Gladbach,23,1997,2.7,14,5.12,6,5,0,1,1,1,1,0.37,0,0,0,1,0,0,Matches,GER-BL1,21-22
f4c7c708,48,Keanan Bennetts,ENG,"FW,DF",Gladbach,22,1999,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
378825c7,49,Ramy Bensebaini,ALG,DF,Gladbach,26,1995,22.4,31,1.45,24,2,0,1,1,3,4,0.19,3,0,0,1,0,0,Matches,GER-BL1,21-22
9af1f9ff,50,Jordan Beyer,GER,DF,Gladbach,21,2000,15.4,24,1.67,18,1,0,1,2,2,1,0.07,1,0,0,0,0,0,Matches,GER-BL1,21-22
763b8b37,51,Bartosz Białek,POL,"FW,DF",Wolfsburg,19,2001,2.0,4,2.02,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
7aac47fe,52,Ermin Bičakčić,BIH,DF,Hoffenheim,31,1990,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
07d3bfec,53,Tom Bischof,GER,MF,Hoffenheim,16,2005,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
eb61713c,54,Danny Blum,GER,FW,Bochum,30,1991,3.8,19,4.94,13,5,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
f4ec4fd0,55,Kevin-Prince Boateng,GHA,"MF,FW",Hertha BSC,34,1987,7.7,19,2.46,16,0,0,1,2,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
5ad8c360,56,Herbert Bockhorn,GER,DF,Bochum,26,1995,9.4,15,1.78,8,1,2,0,4,0,1,0.12,0,0,1,0,0,0,Matches,GER-BL1,21-22
635f2732,57,Jean-Paul Boëtius,NED,MF,Mainz 05,27,1994,20.0,62,3.1,41,14,1,2,3,1,6,0.3,4,1,0,1,0,0,Matches,GER-BL1,21-22
6ebbc28a,58,Tarsis Bonga,GER,"MF,FW",Bochum,24,1997,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
dd7b6eb8,59,Solomon Bonnah,NED,DF,RB Leipzig,17,2003,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
01834aa0,60,Sebastiaan Bornauw,BEL,DF,Wolfsburg,22,1999,22.3,5,0.22,5,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,GER-BL1,21-22
c68da769,61,Rafael Borré,COL,FW,Eint Frankfurt,25,1995,26.4,66,2.5,46,0,6,8,6,0,9,0.34,6,0,2,1,0,0,Matches,GER-BL1,21-22
7c473e12,62,Dedryck Boyata,BEL,DF,Hertha BSC,30,1990,21.1,9,0.43,6,0,1,1,1,0,2,0.09,1,0,0,0,1,0,Matches,GER-BL1,21-22
a167537f,63,Julian Brandt,GER,"MF,FW",Dortmund,25,1996,23.1,97,4.2,60,26,7,4,0,0,22,0.95,14,5,2,1,0,0,Matches,GER-BL1,21-22
db8c8860,64,Iker Bravo,ESP,FW,Leverkusen,16,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
d28339cb,65,Fabian Bredlow,GER,GK,Stuttgart,26,1995,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
d4a2533d,66,Josip Brekalo,CRO,FW,Wolfsburg,23,1998,0.2,1,4.29,1,0,0,0,0,0,1,4.29,1,0,0,0,0,0,Matches,GER-BL1,21-22
4c184730,67,Brian Brobbey,NED,"FW,MF",RB Leipzig,19,2002,1.5,4,2.75,3,0,0,1,0,0,1,0.69,1,0,0,0,0,0,Matches,GER-BL1,21-22
e27da244,68,John Brooks,USA,DF,Wolfsburg,28,1993,29.1,20,0.69,19,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
a7813ac4,69,Daniel Brosinski,GER,DF,Mainz 05,33,1988,4.3,12,2.77,8,4,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches,GER-BL1,21-22
f0a37d36,70,Cédric Brunner,SUI,DF,Arminia,27,1994,24.3,37,1.53,23,8,1,2,2,1,3,0.12,3,0,0,0,0,0,Matches,GER-BL1,21-22
4e204552,71,Jacob Bruun Larsen,DEN,"FW,MF",Hoffenheim,22,1998,9.0,26,2.88,22,0,1,2,1,0,1,0.11,1,0,0,0,0,0,Matches,GER-BL1,21-22
25bdea4b,72,Sascha Burchert,GER,GK,Greuther Fürth,31,1989,14.0,2,0.14,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
05e2d5ea,73,Delano Burgzorg,SUR,MF,Mainz 05,22,1998,0.3,1,3.33,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
05f99a4a,74,Jonathan Burkardt,GER,"FW,MF",Mainz 05,21,2000,29.0,79,2.72,53,1,4,12,7,2,6,0.21,5,0,1,0,0,0,Matches,GER-BL1,21-22
9d12e142,75,Roman Bürki,SUI,GK,Dortmund,30,1990,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
d1273f09,76,Daniel Caligiuri,ITA,"DF,MF",Augsburg,33,1988,22.3,65,2.92,30,20,4,2,4,5,8,0.36,3,3,0,1,1,0,Matches,GER-BL1,21-22
a65ce836,77,Emre Can,GER,"DF,MF",Dortmund,27,1994,18.8,16,0.85,13,0,1,0,1,1,1,0.05,1,0,0,0,0,0,Matches,GER-BL1,21-22
db401046,78,Koen Casteels,BEL,GK,Wolfsburg,29,1992,28.0,1,0.04,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
68829001,79,Gonzalo Castro,GER,"MF,FW",Arminia,34,1987,4.8,13,2.69,9,3,0,1,0,0,1,0.21,0,1,0,0,0,0,Matches,GER-BL1,21-22
ae7058f9,80,Julian Chabot,GER,DF,Köln,23,1998,2.3,1,0.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
b3b7f5a6,81,Timothy Chandler,USA,DF,Eint Frankfurt,31,1990,13.5,19,1.41,12,3,0,2,2,0,1,0.07,0,1,0,0,0,0,Matches,GER-BL1,21-22
3c569f37,82,Justin Che,USA,"FW,DF",Hoffenheim,17,2003,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
e7b899b8,83,Max Christiansen,GER,MF,Greuther Fürth,24,1996,22.8,28,1.23,25,0,0,1,1,1,1,0.04,1,0,0,0,0,0,Matches,GER-BL1,21-22
042e8a49,84,Kingsley Coman,FRA,"FW,DF",Bayern Munich,25,1996,15.1,53,3.51,42,2,3,4,2,0,5,0.33,5,0,0,0,0,0,Matches,GER-BL1,21-22
8356931a,85,Lucas Copado,GER,FW,Bayern Munich,17,2004,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
229cd98a,86,Sergio Córdova,VEN,"FW,MF",Augsburg,23,1997,3.6,4,1.1,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
5ddb8f9f,87,Danny da Costa,GER,"DF,MF",Eint Frankfurt,28,1993,8.1,10,1.24,8,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
05ba9d7c,88,Tanguy Coulibaly,FRA,"FW,MF",Stuttgart,20,2001,12.0,27,2.25,15,0,4,0,6,2,1,0.08,1,0,0,0,0,0,Matches,GER-BL1,21-22
5722eced,89,Mickaël Cuisance,FRA,MF,Bayern Munich,21,1999,0.1,4,27.69,3,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
dc62b55d,90,Matheus Cunha,BRA,FW,Hertha BSC,22,1999,0.7,3,4.22,2,0,0,1,0,0,2,2.81,1,0,0,1,0,0,Matches,GER-BL1,21-22
b0a0698b,91,Rafael Czichos,GER,DF,Köln,31,1990,15.6,13,0.83,11,0,0,0,0,2,2,0.13,1,0,0,0,0,1,Matches,GER-BL1,21-22
7ba1f1ef,92,Lennart-Marten Czyborra,GER,DF,Arminia,22,1999,1.5,1,0.69,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
eac044ad,93,Moanes Dabbur,ISR,"FW,MF",Hoffenheim,29,1992,14.6,37,2.54,28,0,2,4,1,2,6,0.41,5,0,0,0,0,1,Matches,GER-BL1,21-22
dee3013b,94,Finn Dahmen,GER,GK,Mainz 05,23,1998,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
db4ed67b,95,Mahmoud Dahoud,GER,MF,Dortmund,25,1996,18.4,52,2.82,43,4,3,0,0,2,6,0.33,5,0,0,0,0,1,Matches,GER-BL1,21-22
41bff4fa,96,Márton Dárdai,HUN,DF,Hertha BSC,19,2002,8.4,7,0.83,4,3,0,0,0,0,2,0.24,0,2,0,0,0,0,Matches,GER-BL1,21-22
3eb0f2df,97,Vladimír Darida,CZE,MF,Hertha BSC,30,1990,19.8,62,3.12,44,11,0,4,3,0,7,0.35,7,0,0,0,0,0,Matches,GER-BL1,21-22
d781d855,98,Alphonso Davies,CAN,DF,Bayern Munich,20,2000,19.3,70,3.62,54,4,9,1,2,0,4,0.21,4,0,0,0,0,0,Matches,GER-BL1,21-22
41df88b8,99,Saulo Decarli,SUI,DF,Bochum,29,1992,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
fe641c1a,100,Thomas Delaney,DEN,MF,Dortmund,29,1991,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
54b4dc4e,101,Kerem Demirbay,GER,MF,Leverkusen,28,1993,22.8,71,3.12,30,33,2,2,3,1,10,0.44,7,2,0,0,1,0,Matches,GER-BL1,21-22
ed79b7d3,102,Ermedin Demirović,BIH,FW,Freiburg,23,1998,9.7,22,2.28,17,0,0,5,0,0,6,0.62,5,0,0,1,0,0,Matches,GER-BL1,21-22
25f50295,103,Mike van der Hoorn,NED,DF,Arminia,28,1992,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
aeed5c06,104,Moussa Diaby,FRA,"FW,MF",Leverkusen,22,1999,30.7,115,3.75,90,8,11,3,2,1,24,0.78,19,0,3,1,1,0,Matches,GER-BL1,21-22
d3096421,105,Daniel Didavi,GER,"MF,FW",Stuttgart,31,1990,3.1,10,3.25,7,0,2,0,1,0,1,0.32,1,0,0,0,0,0,Matches,GER-BL1,21-22
34a0f5ff,106,Javairô Dilrosun,NED,FW,Hertha BSC,23,1998,1.5,1,0.65,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
96d0b6f0,107,Lee Dongjun,KOR,"MF,FW",Hertha BSC,24,1997,1.3,2,1.51,1,0,0,1,0,0,1,0.76,1,0,0,0,0,0,Matches,GER-BL1,21-22
7f73bdf4,108,Niklas Dorsch,GER,MF,Augsburg,23,1998,25.8,40,1.55,26,8,0,1,2,3,3,0.12,3,0,0,0,0,0,Matches,GER-BL1,21-22
79ca3e23,109,Ondrej Duda,SVK,"MF,FW",Köln,26,1994,17.9,61,3.41,37,6,9,3,5,1,2,0.11,1,0,1,0,0,0,Matches,GER-BL1,21-22
5a8d6540,110,Jeremy Dudziak,TUN,"MF,FW",Greuther Fürth,25,1995,12.6,31,2.46,21,2,1,2,5,0,4,0.32,1,0,1,0,2,0,Matches,GER-BL1,21-22
cf623c78,111,Erik Durm,GER,DF,Eint Frankfurt,29,1992,5.3,7,1.33,6,1,0,0,0,0,3,0.57,3,0,0,0,0,0,Matches,GER-BL1,21-22
beb882a8,112,Maximilian Eggestein,GER,MF,Freiburg,24,1996,24.4,50,2.05,42,2,0,2,2,2,5,0.21,5,0,0,0,0,0,Matches,GER-BL1,21-22
2f7fec15,113,Lilian Egloff,GER,"MF,DF",Stuttgart,18,2002,0.3,1,2.81,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
76b2817e,114,Kingsley Ehizibue,NED,DF,Köln,26,1995,7.6,17,2.25,15,1,1,0,0,0,2,0.27,2,0,0,0,0,0,Matches,GER-BL1,21-22
943b9602,115,Julian Eitschberger,GER,DF,Hertha BSC,17,2004,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
73d6a176,116,Jurgen Ekkelenkamp,NED,"MF,FW",Hertha BSC,21,2000,8.0,16,2.01,12,0,0,2,1,1,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
48035304,117,Nico Elvedi,SUI,DF,Gladbach,24,1996,27.0,15,0.56,12,0,1,1,0,1,2,0.07,2,0,0,0,0,0,Matches,GER-BL1,21-22
0b4f388a,118,Breel Embolo,SUI,FW,Gladbach,24,1997,24.1,82,3.56,60,0,3,4,14,1,10,0.43,7,0,0,1,1,1,Matches,GER-BL1,21-22
1a83027b,119,Keita Endo,JPN,MF,Union Berlin,23,1997,0.6,3,4.91,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
c149016b,120,Wataru Endo,JPN,MF,Stuttgart,28,1993,32.2,63,1.96,52,0,2,4,3,2,3,0.09,3,0,0,0,0,0,Matches,GER-BL1,21-22
83e0eeb4,121,Michael Esser,GER,GK,Bochum,33,1987,3.0,1,0.33,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
93c9e7d9,122,Wahid Faghir,DEN,FW,Stuttgart,18,2003,1.4,4,2.9,1,0,3,0,0,0,1,0.73,0,0,1,0,0,0,Matches,GER-BL1,21-22
8307b663,123,Ömer Faruk Beyaz,TUR,"DF,MF",Stuttgart,17,2003,0.8,1,1.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
60097ff6,124,Adrian Fein,GER,MF,Greuther Fürth,22,1999,0.4,2,5.63,1,0,0,1,0,0,1,2.81,0,0,0,1,0,0,Matches,GER-BL1,21-22
677da306,125,Ohis Felix Uduokhai,GER,DF,Augsburg,23,1997,8.7,5,0.57,5,0,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches,GER-BL1,21-22
3bb625ac,126,Edimilson Fernandes,SUI,"MF,FW",Arminia,25,1996,3.1,10,3.18,9,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
f9e7c4ac,127,Alfreð Finnbogason,ISL,FW,Augsburg,32,1989,3.2,6,1.85,4,0,0,2,0,0,2,0.62,1,0,0,1,0,0,Matches,GER-BL1,21-22
a92ab7be,128,Mark Flekken,NED,GK,Freiburg,28,1993,32.0,10,0.31,9,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,GER-BL1,21-22
9a2e0ccc,129,Emil Forsberg,SWE,MF,RB Leipzig,29,1991,19.0,56,2.96,39,8,5,2,2,0,7,0.37,4,1,1,0,1,0,Matches,GER-BL1,21-22
76fa965f,130,Philipp Förster,GER,"MF,FW",Stuttgart,26,1995,10.7,29,2.7,22,1,2,4,0,0,2,0.19,2,0,0,0,0,0,Matches,GER-BL1,21-22
a9142dc3,131,Timothy Fosu-Mensah,NED,DF,Leverkusen,23,1998,1.6,2,1.24,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
626fab5f,132,Raphael Framberger,GER,DF,Augsburg,25,1995,9.4,21,2.23,17,3,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
b77f44a4,133,Marvin Friedrich,GER,DF,Gladbach,25,1995,6.7,1,0.15,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
b77f44a4,134,Marvin Friedrich,GER,DF,Union Berlin,25,1995,13.0,10,0.77,7,0,0,3,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
74f2e748,135,Jeremie Frimpong,NED,DF,Leverkusen,20,2000,22.8,54,2.37,44,1,7,1,1,0,9,0.39,9,0,0,0,0,0,Matches,GER-BL1,21-22
1940be91,136,Christian Früchtl,GER,GK,Bayern Munich,21,2000,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
0cf778df,137,Chris Führich,GER,"FW,MF",Stuttgart,23,1998,19.0,64,3.36,40,13,5,2,4,0,4,0.21,1,2,0,1,0,0,Matches,GER-BL1,21-22
86314793,138,Marius Funk,GER,GK,Greuther Fürth,25,1996,8.0,3,0.37,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
18c2e247,139,Stephan Fürstner,GER,MF,Mainz 05,33,1987,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
16daec92,140,Mijat Gaćinović,SRB,"FW,MF",Hoffenheim,26,1995,1.2,3,2.45,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
f27680d9,141,Cristian Gamboa,CRC,DF,Bochum,31,1989,19.1,37,1.93,24,7,1,0,3,2,4,0.21,3,1,0,0,0,0,Matches,GER-BL1,21-22
6c731625,142,Silvère Ganvoula M'Boussy,CGO,FW,Bochum,25,1996,1.7,2,1.18,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,21-22
ad2b068c,143,Linus Gechter,GER,DF,Hertha BSC,17,2004,8.0,8,1.01,5,0,0,1,0,2,1,0.13,0,0,0,0,0,1,Matches,GER-BL1,21-22
37f606f0,144,Dennis Geiger,GER,MF,Hoffenheim,23,1998,15.3,51,3.33,32,13,0,3,1,2,3,0.2,1,1,0,1,0,0,Matches,GER-BL1,21-22
