id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,league,season
5f09991f,1,Patrick van Aanholt,NED,DF,Galatasaray,30,1990,7.8,404,27,153,172,86,3,404,3,1,33.3,2,66.7,190,794,407,6,8,0,10,1,198,19,Matches,UEL,21-22
1339039e,2,Liel Abada,ISR,"FW,MF",Celtic,19,2001,3.8,172,1,23,43,107,9,172,11,4,36.4,7,63.6,108,650,357,12,8,4,10,5,129,46,Matches,UEL,21-22
7bb0fe4a,3,Khalid Abdul Basit,GHA,FW,Sheriff Tiraspol,24,1996,0.3,14,0,2,5,7,1,14,0,0,,0,,4,32,29,1,1,0,3,0,5,0,Matches,UEL,21-22
8bc373ea,4,Pape Abou Cissé,SEN,DF,Olympiacos,25,1995,6.5,380,58,205,165,16,5,380,9,5,55.6,4,44.4,242,1625,948,5,7,0,5,1,223,2,Matches,UEL,21-22
c603091a,5,Joel Abu Hanna,ISR,DF,Legia Warsaw,23,1998,0.1,8,1,6,2,0,0,8,0,0,,0,,3,6,1,0,0,0,0,0,2,0,Matches,UEL,21-22
b96b595c,6,Francesco Acerbi,ITA,DF,Lazio,33,1988,6.0,494,43,213,273,11,4,494,1,1,100.0,0,0.0,327,1787,1305,4,2,1,1,0,369,1,Matches,UEL,21-22
dc38e3bc,7,Ragnar Ache,GER,FW,Eint Frankfurt,23,1998,0.0,4,0,0,2,2,0,4,0,0,,0,,2,1,0,0,0,0,0,0,2,0,Matches,UEL,21-22
81442ecb,8,Marcos Acuña,ARG,DF,Sevilla,29,1991,3.0,278,8,87,120,76,4,278,7,5,71.4,2,28.6,172,843,473,7,4,1,4,3,191,14,Matches,UEL,21-22
2b09d998,9,Tyler Adams,USA,"MF,DF",RB Leipzig,22,1999,1.7,175,9,36,119,22,2,175,0,0,,0,,115,469,195,3,4,1,5,0,122,2,Matches,UEL,21-22
6af56975,10,Edmund Addo,GHA,MF,Sheriff Tiraspol,21,2000,1.3,73,4,22,43,8,1,73,3,1,33.3,2,66.7,36,147,45,1,1,1,1,1,36,0,Matches,UEL,21-22
ee926a02,11,Arijan Ademi,MKD,MF,Dinamo Zagreb,30,1991,4.3,186,8,47,105,38,10,186,9,5,55.6,4,44.4,91,720,279,7,6,1,5,7,120,13,Matches,UEL,21-22
dcfb17f4,12,Amine Adli,MAR,"FW,MF",Leverkusen,21,2000,5.5,270,2,25,121,129,26,270,19,7,36.8,12,63.2,176,1295,693,18,17,5,13,7,197,38,Matches,UEL,21-22
4b00cd47,13,David Affengruber,AUT,DF,Sturm Graz,20,2001,6.0,308,61,181,122,7,4,308,1,1,100.0,0,0.0,122,846,449,0,0,0,4,0,132,1,Matches,UEL,21-22
3dd738a1,14,Ruben Aguilar,FRA,DF,Monaco,28,1993,4.1,351,18,109,176,68,3,351,10,7,70.0,3,30.0,180,844,439,13,11,0,6,1,208,14,Matches,UEL,21-22
d810c13b,15,Emanuel Aiwum,AUT,"DF,MF",Rapid Wien,20,2000,6.0,345,37,184,146,19,1,345,6,5,83.3,1,16.7,212,1203,591,1,5,0,8,2,193,4,Matches,UEL,21-22
2b1c4abd,16,Albian Ajeti,SUI,FW,Celtic,24,1997,1.7,46,2,2,15,29,13,46,1,0,0.0,1,100.0,23,96,40,3,1,1,5,4,24,9,Matches,UEL,21-22
89ac64a6,17,Manuel Akanji,SUI,DF,Dortmund,26,1995,0.6,40,1,17,13,10,1,40,2,0,0.0,2,100.0,23,134,89,1,2,0,1,2,25,1,Matches,UEL,21-22
31f5b89b,18,Paul Akouokou,CIV,MF,Betis,23,1997,1.6,111,6,29,73,9,0,111,0,0,,0,,67,233,56,0,1,1,3,1,75,1,Matches,UEL,21-22
fdf4b948,19,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,28,1992,1.2,53,4,9,38,7,1,53,2,1,50.0,1,50.0,29,114,48,1,0,0,3,1,33,2,Matches,UEL,21-22
f28659fb,20,Kerem Aktürkoğlu,TUR,"FW,MF",Galatasaray,22,1998,6.9,278,4,45,130,110,26,278,22,10,45.5,12,54.5,184,1212,553,19,13,9,30,16,186,56,Matches,UEL,21-22
834d0be5,21,Lucas Alario,ARG,FW,Leverkusen,28,1992,3.9,140,3,15,63,63,19,139,9,5,55.6,4,44.4,67,298,69,3,2,0,12,1,106,29,Matches,UEL,21-22
4601e194,22,Jordi Alba,ESP,DF,Barcelona,32,1989,6.0,675,9,93,379,205,14,675,2,1,50.0,1,50.0,411,1552,811,11,15,1,6,2,475,49,Matches,UEL,21-22
5294a83f,23,Luis Alberto,ESP,MF,Lazio,28,1992,5.4,407,7,60,235,116,8,407,5,2,40.0,3,60.0,247,1111,606,11,9,2,8,7,281,17,Matches,UEL,21-22
65159211,24,Yuri Alberto,BRA,"FW,MF",Zenit,20,2001,1.2,36,0,1,12,23,6,36,0,0,,0,,20,170,25,1,0,0,3,1,30,16,Matches,UEL,21-22
b827d5b3,25,Marc Albrighton,ENG,"DF,FW",Leicester City,31,1989,0.4,47,4,12,22,13,1,47,0,0,,0,,8,26,16,0,0,0,1,0,17,3,Matches,UEL,21-22
