id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,league,season
cadfa7d1,1,Nabil Aberdin,FRA,DF,Getafe,20,2002,2.0,79,75,4,4,0,1,0,0,0,0,0,0,60,0,0,Matches,ESP-LALIGA,23-24
7f9c5d2d,2,Abner,BRA,DF,Betis,23,2000,15.6,797,628,165,7,0,3,26,158,0,0,0,0,615,4,23,Matches,ESP-LALIGA,23-24
2bc7f211,3,Abdel Abqar,MAR,DF,Alavés,24,1999,25.7,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10,Matches,ESP-LALIGA,23-24
81442ecb,4,Marcos Acuña,ARG,DF,Sevilla,31,1991,14.4,847,672,173,32,1,11,82,122,19,7,12,0,628,2,16,Matches,ESP-LALIGA,23-24
a2c1a8d3,5,Julen Agirrezabala,ESP,GK,Athletic Club,22,2000,2.6,100,72,28,6,0,0,0,0,0,0,0,0,67,0,1,Matches,ESP-LALIGA,23-24
8bc8829a,6,Lucien Agoume,FRA,MF,Sevilla,21,2002,8.6,360,356,4,4,1,2,2,0,0,0,0,0,301,0,6,Matches,ESP-LALIGA,23-24
18abe173,7,Joseph Aidoo,GHA,DF,Celta Vigo,27,1995,4.5,185,175,10,6,1,0,0,4,0,0,0,0,145,0,0,Matches,ESP-LALIGA,23-24
b8bd60fe,8,Ilias Akhomach,MAR,"MF,FW",Villarreal,19,2004,16.8,481,464,14,5,4,2,29,5,4,1,1,0,372,3,14,Matches,ESP-LALIGA,23-24
06efa9dc,9,Sergio Akieme,ESP,DF,Almería,25,1997,18.6,801,630,169,19,1,5,57,148,2,0,1,0,620,2,22,Matches,ESP-LALIGA,23-24
31f5b89b,10,Paul Akouokou,CIV,MF,Betis,25,1997,0.3,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches,ESP-LALIGA,23-24
05439de2,11,David Alaba,AUT,DF,Real Madrid,31,1992,12.8,904,835,65,23,4,7,17,5,12,7,3,0,810,4,2,Matches,ESP-LALIGA,23-24
4bd414c1,12,Raúl Albiol,ESP,DF,Villarreal,37,1985,22.6,1272,1207,61,45,0,6,0,3,0,0,0,0,1095,4,8,Matches,ESP-LALIGA,23-24
036bba5f,13,Rubén Alcaraz,ESP,MF,Cádiz,32,1991,34.8,1582,1462,106,85,1,42,36,7,8,1,7,0,1271,14,17,Matches,ESP-LALIGA,23-24
bb08bce9,14,Omar Alderete,PAR,DF,Getafe,26,1996,24.4,1056,985,58,54,0,37,5,3,0,0,0,0,678,13,11,Matches,ESP-LALIGA,23-24
3d7e48ce,15,Iván Alejo,ESP,MF,Cádiz,28,1995,18.8,481,433,46,10,1,2,151,24,12,0,11,0,245,2,32,Matches,ESP-LALIGA,23-24
6c811eb7,16,Carles Aleñá,ESP,MF,Getafe,25,1998,11.3,396,359,36,17,1,4,33,5,14,13,1,0,308,1,12,Matches,ESP-LALIGA,23-24
f8405304,17,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,19,2004,2.8,66,66,0,0,0,0,11,0,0,0,0,0,38,0,1,Matches,ESP-LALIGA,23-24
75a66bed,18,Tadeo Allende,ARG,"MF,FW",Celta Vigo,24,1999,3.7,98,97,1,0,1,1,10,0,0,0,0,0,60,0,6,Matches,ESP-LALIGA,23-24
e6697917,19,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,23,2000,10.7,399,375,24,12,0,4,18,2,7,0,5,0,315,0,18,Matches,ESP-LALIGA,23-24
f4290206,20,Marcos Alonso,ESP,DF,Barcelona,32,1990,2.8,214,171,43,10,0,3,15,27,6,2,2,0,180,0,5,Matches,ESP-LALIGA,23-24
757a3431,21,Adrià Altimira,ESP,"DF,MF",Villarreal,22,2001,8.6,465,400,65,5,0,1,5,60,0,0,0,0,389,0,10,Matches,ESP-LALIGA,23-24
94acdd4e,22,Sergi Altimira,ESP,MF,Betis,21,2001,6.3,320,315,3,1,0,4,1,1,1,1,0,0,289,2,3,Matches,ESP-LALIGA,23-24
852ddfb8,23,Gastón Álvarez,URU,DF,Getafe,23,2000,28.2,1017,878,138,35,0,10,25,101,0,0,0,0,754,1,17,Matches,ESP-LALIGA,23-24
6f392eb8,24,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,20,2003,8.5,455,379,73,8,4,1,22,58,7,1,5,1,380,3,10,Matches,ESP-LALIGA,23-24
3ecc11d8,25,Yeray Álvarez,ESP,DF,Athletic Club,28,1995,12.8,710,674,32,30,2,8,1,1,0,0,0,0,572,4,7,Matches,ESP-LALIGA,23-24
00eba9c9,26,Selim Amallah,MAR,"FW,MF",Valencia,26,1996,6.7,164,162,2,0,2,0,4,0,0,0,0,0,120,0,5,Matches,ESP-LALIGA,23-24
f3b1d9a2,27,Amath,SEN,"FW,MF",Mallorca,27,1996,4.4,113,110,2,1,2,0,7,1,0,0,0,0,76,1,4,Matches,ESP-LALIGA,23-24
56cafd0a,28,Miguel Ángel Rubio,ESP,DF,Granada,25,1998,17.3,775,745,29,24,1,4,0,1,0,0,0,0,622,1,11,Matches,ESP-LALIGA,23-24
fdd26d71,29,Fabrizio Angileri,ARG,"DF,MF",Getafe,29,1994,1.8,103,96,7,1,0,2,8,6,0,0,0,0,68,0,5,Matches,ESP-LALIGA,23-24
58afe001,30,Mauro Arambarri,URU,MF,Getafe,27,1995,3.8,142,138,4,2,0,2,6,1,1,1,0,0,114,0,2,Matches,ESP-LALIGA,23-24
dc7a172e,31,Jon Aramburu,VEN,DF,Real Sociedad,21,2002,6.0,321,256,62,7,0,0,7,55,0,0,0,0,254,3,7,Matches,ESP-LALIGA,23-24
8f4541c2,32,Julian Araujo,MEX,DF,Las Palmas,21,2001,16.2,831,694,135,19,0,2,23,116,0,0,0,0,680,2,14,Matches,ESP-LALIGA,23-24
2bef2bca,33,Ronald Araújo,URU,DF,Barcelona,24,1999,22.2,1641,1540,93,45,3,14,8,37,0,0,0,0,1458,8,6,Matches,ESP-LALIGA,23-24
a461f098,34,Adu Ares,ESP,FW,Athletic Club,21,2001,2.9,104,103,1,0,0,1,11,0,1,1,0,0,79,0,5,Matches,ESP-LALIGA,23-24
94e01ec6,35,Jesús Areso,ESP,DF,Osasuna,24,1999,29.6,1368,1033,332,20,1,6,110,311,0,0,0,0,1021,3,48,Matches,ESP-LALIGA,23-24
484ebdb0,36,Matias Arezo,URU,FW,Granada,20,2002,4.1,82,75,7,0,1,0,4,1,0,0,0,0,52,0,0,Matches,ESP-LALIGA,23-24
d80d7f17,37,Iñigo Arguibide,ESP,DF,Osasuna,18,2005,0.2,4,3,1,0,0,0,0,1,0,0,0,0,1,0,1,Matches,ESP-LALIGA,23-24
46e07328,38,José Arnaiz,ESP,"FW,MF",Osasuna,28,1995,10.3,318,260,58,18,0,3,46,3,25,13,8,0,233,0,8,Matches,ESP-LALIGA,23-24
1e465e70,39,Sergio Arribas,ESP,"MF,FW",Almería,21,2001,22.7,751,661,86,32,4,4,60,7,28,13,9,0,588,4,20,Matches,ESP-LALIGA,23-24
28d596a0,40,Kepa Arrizabalaga,ESP,GK,Real Madrid,28,1994,13.3,456,374,82,12,0,1,0,0,0,0,0,0,386,0,1,Matches,ESP-LALIGA,23-24
7dcf86f6,41,Iago Aspas,ESP,FW,Celta Vigo,35,1987,30.1,1305,1112,190,51,20,15,149,8,94,39,35,0,949,3,30,Matches,ESP-LALIGA,23-24
253a06b9,42,Ezequiel Ávila,ARG,"FW,MF",Osasuna,29,1994,9.6,371,312,56,13,4,6,79,10,32,17,12,0,232,3,9,Matches,ESP-LALIGA,23-24
253a06b9,43,Ezequiel Ávila,ARG,FW,Betis,29,1994,3.3,91,89,2,1,0,3,12,1,0,0,0,0,55,0,6,Matches,ESP-LALIGA,23-24
53cad200,44,César Azpilicueta,ESP,DF,Atlético Madrid,33,1989,15.8,1035,899,130,19,1,2,11,111,0,0,0,0,867,6,8,Matches,ESP-LALIGA,23-24
bfd381b3,45,Iddrisu Baba,GHA,MF,Almería,27,1996,15.9,654,636,15,15,2,2,4,0,0,0,0,0,543,3,10,Matches,ESP-LALIGA,23-24
075fe5a3,46,Srđan Babić,SRB,DF,Almería,27,1996,1.0,62,60,2,2,0,1,0,0,0,0,0,0,58,0,0,Matches,ESP-LALIGA,23-24
