id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,league,season
47064058,1,Oliver Baumann,GER,GK,Hoffenheim,32,1990,34,34,3060,34.0,57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,1,0.0,Matches,GER-BL1,22-23
663e080e,2,Janis Blaswich,GER,GK,RB Leipzig,31,1991,26,26,2340,26.0,29,1.12,75,45,69.3,16,4,6,7,26.9,7,6,1,0,14.3,Matches,GER-BL1,22-23
d28339cb,3,Fabian Bredlow,GER,GK,Stuttgart,27,1995,15,15,1350,15.0,23,1.53,59,37,69.5,4,5,6,1,6.7,5,5,0,0,0.0,Matches,GER-BL1,22-23
db401046,4,Koen Casteels,BEL,GK,Wolfsburg,30,1992,34,34,3060,34.0,48,1.41,147,101,70.1,13,10,11,12,35.3,7,4,1,2,20.0,Matches,GER-BL1,22-23
af104654,5,Oliver Christensen,DEN,GK,Hertha BSC,23,1999,33,33,2970,33.0,68,2.06,163,94,61.3,6,8,19,3,9.1,6,5,1,0,16.7,Matches,GER-BL1,22-23
dee3013b,6,Finn Dahmen,GER,GK,Mainz 05,24,1998,8,8,720,8.0,16,2.0,44,26,65.9,3,2,3,0,0.0,3,1,2,0,66.7,Matches,GER-BL1,22-23
3f6c3ae0,7,Tjark Ernst,GER,GK,Hertha BSC,19,2003,1,1,90,1.0,1,1.0,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,Matches,GER-BL1,22-23
1e43fad8,8,Ralf Fährmann,GER,GK,Schalke 04,33,1988,12,12,1025,11.4,13,1.14,55,43,78.2,3,6,3,5,41.7,2,1,0,1,0.0,Matches,GER-BL1,22-23
a92ab7be,9,Mark Flekken,NED,GK,Freiburg,29,1993,34,34,3060,34.0,44,1.29,150,106,74.0,17,8,9,13,38.2,6,5,0,1,0.0,Matches,GER-BL1,22-23
17376543,10,Rafał Gikiewicz,POL,GK,Augsburg,34,1987,23,23,2070,23.0,41,1.78,136,93,70.6,8,3,12,5,21.7,4,1,2,1,66.7,Matches,GER-BL1,22-23
37998008,11,Lennart Grill,GER,GK,Union Berlin,23,1999,5,5,450,5.0,11,2.2,25,14,64.0,2,1,2,2,40.0,2,2,0,0,0.0,Matches,GER-BL1,22-23
bcb2ccd8,12,Péter Gulácsi,HUN,GK,RB Leipzig,32,1990,6,6,540,6.0,10,1.67,26,17,65.4,2,2,2,2,33.3,1,1,0,0,0.0,Matches,GER-BL1,22-23
ad3389d5,13,Lukáš Hrádecký,FIN,GK,Leverkusen,32,1989,33,33,2969,33.0,47,1.42,142,97,71.8,14,8,11,9,27.3,7,7,0,0,0.0,Matches,GER-BL1,22-23
cd59b9df,14,Gregor Kobel,SUI,GK,Dortmund,24,1997,27,27,2430,27.0,32,1.19,119,88,73.9,19,3,5,11,40.7,1,1,0,0,0.0,Matches,GER-BL1,22-23
dc366c36,15,Tomáš Koubek,CZE,GK,Augsburg,29,1992,11,11,990,11.0,22,2.0,65,45,66.2,1,4,6,1,9.1,0,0,0,0,,Matches,GER-BL1,22-23
8a6ab963,16,Andrey Lunyov,RUS,GK,Leverkusen,30,1991,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,GER-BL1,22-23
b56dd813,17,Alexander Meyer,GER,GK,Dortmund,31,1991,7,7,630,7.0,12,1.71,32,20,62.5,3,2,2,1,14.3,0,0,0,0,,Matches,GER-BL1,22-23
cbac6ec9,18,Florian Müller,GER,GK,Stuttgart,24,1997,19,19,1710,19.0,34,1.79,87,53,62.1,3,7,9,1,5.3,1,1,0,0,0.0,Matches,GER-BL1,22-23
8778c910,19,Manuel Neuer,GER,GK,Bayern Munich,36,1986,12,12,1080,12.0,11,0.92,44,33,79.5,7,4,1,4,33.3,2,2,0,0,0.0,Matches,GER-BL1,22-23
bdedffac,20,Ørjan Nyland,NOR,GK,RB Leipzig,31,1990,2,2,180,2.0,2,1.0,5,4,60.0,2,0,0,1,50.0,0,0,0,0,,Matches,GER-BL1,22-23
