id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: league,Unnamed: season
2ee5b0c9,23,Zeki Amdouni,SUI,FW,Burnley,22,2000,34,27,1953,21.7,5,1,6,4,1,1,2,0,5.8,5.0,1.4,6.5,63,49,93,0.23,0.05,0.28,0.18,0.23,0.27,0.07,0.33,0.23,0.3,Matches,ENG-EPL,23-24
5a2cb25d,24,Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,26,1996,21,10,938,10.4,0,0,0,0,0,0,6,0,0.1,0.1,0.3,0.4,6,66,10,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,ENG-EPL,23-24
e34fc66d,25,Joachim Andersen,DEN,DF,Crystal Palace,27,1996,38,38,3415,37.9,2,3,5,2,0,0,7,0,1.7,1.7,2.8,4.5,21,147,10,0.05,0.08,0.13,0.05,0.13,0.04,0.07,0.12,0.04,0.12,Matches,ENG-EPL,23-24
de31038e,26,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,20,2002,21,10,1027,11.4,0,2,2,0,0,0,3,0,1.5,1.5,1.9,3.5,37,57,70,0.0,0.18,0.18,0.0,0.18,0.13,0.17,0.3,0.13,0.3,Matches,ENG-EPL,23-24
e4238fb1,27,Jaidon Anthony,ENG,FW,Bournemouth,23,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,8,9,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,ENG-EPL,23-24
ac05f970,28,Michail Antonio,JAM,FW,West Ham,33,1990,26,21,1695,18.8,6,2,8,6,0,0,6,0,5.8,5.8,0.9,6.7,48,22,104,0.32,0.11,0.42,0.32,0.42,0.31,0.05,0.35,0.31,0.35,Matches,ENG-EPL,23-24
99127249,29,Antony,BRA,FW,Manchester Utd,23,2000,29,15,1324,14.7,1,1,2,1,0,0,5,0,3.4,3.4,2.8,6.1,53,64,149,0.07,0.07,0.14,0.07,0.14,0.23,0.19,0.42,0.23,0.42,Matches,ENG-EPL,23-24
afe1a491,30,Oliver Arblaster,ENG,MF,Sheffield Utd,19,2004,12,11,943,10.5,0,0,0,0,0,0,2,0,0.0,0.0,0.7,0.8,13,43,4,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,ENG-EPL,23-24
05e8ca6d,31,Cameron Archer,ENG,"FW,MF",Sheffield Utd,22,2001,29,21,1832,20.4,4,1,5,4,0,0,1,0,5.5,5.5,2.8,8.3,33,15,113,0.2,0.05,0.25,0.2,0.25,0.27,0.14,0.41,0.27,0.41,Matches,ENG-EPL,23-24
05e8ca6d,32,Cameron Archer,ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ENG-EPL,23-24
2f965a72,33,Alphonse Areola,FRA,GK,West Ham,30,1993,31,31,2699,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ENG-EPL,23-24
b026bbf6,34,Lorenz Assignon,TOG,DF,Burnley,23,2000,15,15,1234,13.7,1,2,3,1,0,0,5,1,0.4,0.4,2.6,3.0,38,34,57,0.07,0.15,0.22,0.07,0.22,0.03,0.19,0.22,0.03,0.22,Matches,ENG-EPL,23-24
5c2b4f07,35,Serge Aurier,CIV,"DF,MF",Nott'ham Forest,30,1992,12,10,833,9.3,0,2,2,0,0,0,2,0,0.2,0.2,0.5,0.6,10,47,29,0.0,0.22,0.22,0.0,0.22,0.02,0.05,0.07,0.02,0.07,Matches,ENG-EPL,23-24
e5478b87,36,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,25,1997,20,12,1042,11.6,6,3,9,6,0,0,2,0,4.7,4.7,1.7,6.4,8,14,45,0.52,0.26,0.78,0.52,0.78,0.41,0.15,0.56,0.41,0.56,Matches,ENG-EPL,23-24
da052c14,37,Jordan Ayew,GHA,"FW,MF",Crystal Palace,31,1991,35,30,2543,28.3,4,7,11,4,0,0,9,1,3.9,3.9,4.2,8.1,74,63,173,0.14,0.25,0.39,0.14,0.39,0.14,0.15,0.29,0.14,0.29,Matches,ENG-EPL,23-24
06df8256,38,Benoît Badiashile,FRA,DF,Chelsea,22,2001,18,15,1338,14.9,0,1,1,0,0,0,3,0,0.3,0.3,1.5,1.8,3,46,3,0.0,0.07,0.07,0.0,0.07,0.02,0.1,0.12,0.02,0.12,Matches,ENG-EPL,23-24
3a233281,39,Leon Bailey,JAM,"MF,FW",Aston Villa,25,1997,35,22,2068,23.0,10,9,19,10,0,0,5,0,6.3,6.3,9.2,15.5,102,82,226,0.44,0.39,0.83,0.44,0.83,0.27,0.4,0.67,0.27,0.67,Matches,ENG-EPL,23-24
32e8417f,40,Stefan Bajcetic,ESP,MF,Liverpool,18,2004,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ENG-EPL,23-24
394854c4,41,George Baldock,GRE,DF,Sheffield Utd,30,1993,13,11,969,10.8,0,1,1,0,0,0,4,0,0.0,0.0,0.8,0.8,9,31,24,0.0,0.09,0.09,0.0,0.09,0.0,0.07,0.08,0.0,0.08,Matches,ENG-EPL,23-24
a1390d2f,42,Carlos Baleba,CMR,MF,Brighton,19,2004,27,15,1325,14.7,0,0,0,0,0,0,7,0,0.8,0.8,0.3,1.1,19,50,9,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,ENG-EPL,23-24
f449640d,43,Fodé Ballo-Touré,SEN,"DF,MF",Fulham,26,1997,6,0,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ENG-EPL,23-24
2886c9b5,44,Shandon Baptiste,GRN,MF,Brentford,25,1998,10,2,229,2.5,1,1,2,1,0,0,1,0,0.9,0.9,0.2,1.1,3,5,1,0.39,0.39,0.79,0.39,0.79,0.35,0.08,0.43,0.35,0.43,Matches,ENG-EPL,23-24
b9f282ec,45,Valentín Barco,ARG,"DF,FW",Brighton,19,2004,6,3,307,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,8,14,20,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.13,0.05,0.13,Matches,ENG-EPL,23-24
3a24769f,46,Ross Barkley,ENG,MF,Luton Town,29,1993,32,30,2618,29.1,5,4,9,5,0,0,6,0,4.1,4.1,3.7,7.9,48,163,39,0.17,0.14,0.31,0.17,0.31,0.14,0.13,0.27,0.14,0.27,Matches,ENG-EPL,23-24
3ea50f67,47,Harvey Barnes,ENG,"FW,MF",Newcastle Utd,25,1997,21,7,802,8.9,5,3,8,5,0,0,2,0,3.6,3.6,3.2,6.8,45,34,79,0.56,0.34,0.9,0.56,0.9,0.4,0.36,0.76,0.4,0.76,Matches,ENG-EPL,23-24
1aa84968,48,Chris Basham,ENG,"DF,MF",Sheffield Utd,35,1988,8,3,321,3.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,1,7,6,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.1,0.04,0.1,Matches,ENG-EPL,23-24
a36524bf,49,Calvin Bassey,NGA,DF,Fulham,23,1999,29,25,2303,25.6,1,0,1,1,0,0,6,1,0.3,0.3,0.0,0.4,15,62,4,0.04,0.0,0.04,0.04,0.04,0.01,0.0,0.01,0.01,0.01,Matches,ENG-EPL,23-24
a011a1e9,50,Owen Beck,WAL,DF,Liverpool,20,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ENG-EPL,23-24
50dc94ce,51,Donny van de Beek,NED,DF,Manchester Utd,26,1997,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,0,1,0.0,0.0,0.0,0.0,0.0,1.09,4.44,5.54,1.09,5.54,Matches,ENG-EPL,23-24
399e9474,52,Amari'i Bell,JAM,DF,Luton Town,29,1994,21,21,1720,19.1,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,32,76,10,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches,ENG-EPL,23-24
10f0fdd3,53,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,25,1998,22,10,958,10.6,2,1,3,2,0,0,0,1,1.6,1.6,1.0,2.5,30,39,49,0.19,0.09,0.28,0.19,0.28,0.15,0.09,0.24,0.15,0.24,Matches,ENG-EPL,23-24
9ade9ce1,54,Anis Ben Slimane,TUN,MF,Sheffield Utd,22,2001,15,4,419,4.7,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,3,12,21,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.23,0.17,0.23,Matches,ENG-EPL,23-24
5a04fd92,55,Saïd Benrahma,ALG,"FW,MF",West Ham,27,1995,13,5,620,6.9,0,1,1,0,0,1,1,0,1.8,1.0,1.4,2.5,28,28,70,0.0,0.15,0.15,0.0,0.15,0.27,0.21,0.47,0.15,0.36,Matches,ENG-EPL,23-24
3b8674e6,56,Rodrigo Bentancur,URU,MF,Tottenham,26,1997,23,13,1005,11.2,1,1,2,1,0,0,7,0,1.9,1.9,0.5,2.4,16,72,31,0.09,0.09,0.18,0.09,0.18,0.17,0.04,0.22,0.17,0.22,Matches,ENG-EPL,23-24
68db6358,57,Daniel Bentley,ENG,GK,Wolves,30,1993,5,3,383,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ENG-EPL,23-24
f72293fc,58,Jóhann Berg Guðmundsson,ISL,"MF,FW",Burnley,32,1990,26,12,1192,13.2,1,3,4,1,0,0,2,0,1.9,1.9,2.7,4.5,13,59,69,0.08,0.23,0.3,0.08,0.3,0.14,0.2,0.34,0.14,0.34,Matches,ENG-EPL,23-24
d0b6129f,59,Sander Berge,NOR,MF,Burnley,25,1998,37,34,3005,33.4,1,2,3,1,0,0,10,1,1.9,1.9,2.4,4.3,64,164,29,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13,Matches,ENG-EPL,23-24
2aaadf33,60,Luke Berry,ENG,"MF,DF",Luton Town,31,1992,17,2,323,3.6,2,1,3,2,0,0,1,0,1.0,1.0,0.3,1.3,1,8,7,0.56,0.28,0.84,0.56,0.84,0.28,0.07,0.35,0.28,0.35,Matches,ENG-EPL,23-24
ed5c0319,61,Beto,GNB,FW,Everton,25,1998,30,9,951,10.6,3,0,3,3,0,1,2,0,6.8,6.0,0.9,6.9,14,14,58,0.28,0.0,0.28,0.28,0.28,0.64,0.09,0.73,0.57,0.66,Matches,ENG-EPL,23-24
9af1f9ff,62,Jordan Beyer,GER,DF,Burnley,23,2000,15,15,1234,13.7,0,1,1,0,0,0,6,0,0.5,0.5,0.3,0.8,9,25,1,0.0,0.07,0.07,0.0,0.07,0.04,0.02,0.06,0.04,0.06,Matches,ENG-EPL,23-24
d328a254,63,Philip Billing,DEN,MF,Bournemouth,27,1996,29,13,1398,15.5,2,2,4,2,0,0,3,1,2.5,2.5,3.2,5.7,22,53,63,0.13,0.13,0.26,0.13,0.26,0.16,0.21,0.36,0.16,0.36,Matches,ENG-EPL,23-24
6c203af0,64,Yves Bissouma,MLI,MF,Tottenham,26,1996,28,26,2068,23.0,0,0,0,0,0,0,10,2,1.4,1.4,0.4,1.8,43,169,13,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,ENG-EPL,23-24
4c5835e6,65,Benicio Boaitey,ENG,"FW,DF",Brighton,19,2004,5,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,2,2,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.19,0.05,0.19,Matches,ENG-EPL,23-24
eed2427e,66,Oscar Bobb,NOR,"FW,MF",Manchester City,20,2003,14,2,302,3.4,1,1,2,1,0,0,0,0,1.4,1.4,1.2,2.6,13,25,38,0.3,0.3,0.6,0.3,0.6,0.41,0.37,0.78,0.41,0.78,Matches,ENG-EPL,23-24
ae5019e6,67,Jayden Bogle,ENG,DF,Sheffield Utd,23,2000,34,32,2788,31.0,3,0,3,3,0,0,9,0,2.3,2.3,1.0,3.3,38,60,92,0.1,0.0,0.1,0.1,0.1,0.07,0.03,0.11,0.07,0.11,Matches,ENG-EPL,23-24
a4ac4b8f,68,Willy Boly,CIV,DF,Nott'ham Forest,32,1991,20,18,1438,16.0,2,1,3,2,0,0,3,1,1.5,1.5,1.3,2.8,4,32,3,0.13,0.06,0.19,0.13,0.19,0.09,0.08,0.18,0.09,0.18,Matches,ENG-EPL,23-24
ccce7025,69,Sven Botman,NED,DF,Newcastle Utd,23,2000,17,15,1377,15.3,2,2,4,2,0,0,2,0,0.6,0.6,1.0,1.6,0,35,5,0.13,0.13,0.26,0.13,0.26,0.04,0.07,0.11,0.04,0.11,Matches,ENG-EPL,23-24
79c84d1c,70,Jarrod Bowen,ENG,FW,West Ham,26,1996,34,34,3019,33.5,16,6,22,16,0,0,2,0,11.6,11.6,5.5,17.2,90,52,186,0.48,0.18,0.66,0.48,0.66,0.35,0.16,0.51,0.35,0.51,Matches,ENG-EPL,23-24
bbd67769,71,Conor Bradley,NIR,DF,Liverpool,20,2003,11,10,753,8.4,1,3,4,1,0,0,2,0,0.9,0.9,1.5,2.3,35,29,64,0.12,0.36,0.48,0.12,0.48,0.1,0.17,0.28,0.1,0.28,Matches,ENG-EPL,23-24
c1949191,72,Jarrad Branthwaite,ENG,DF,Everton,21,2002,35,35,3116,34.6,3,0,3,3,0,0,8,0,1.7,1.7,1.0,2.8,2,74,6,0.09,0.0,0.09,0.09,0.09,0.05,0.03,0.08,0.05,0.08,Matches,ENG-EPL,23-24
57827369,73,Ben Brereton,CHI,"FW,MF",Sheffield Utd,24,1999,14,14,1105,12.3,6,1,7,5,1,1,3,0,6.1,5.3,1.5,6.7,23,37,78,0.49,0.08,0.57,0.41,0.49,0.49,0.12,0.61,0.43,0.55,Matches,ENG-EPL,23-24
30e81a88,74,Rhian Brewster,ENG,"FW,MF",Sheffield Utd,23,2000,13,3,346,3.8,0,0,0,0,0,0,0,1,0.4,0.4,0.1,0.5,1,3,21,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12,Matches,ENG-EPL,23-24
97220da2,75,Armando Broja,ALB,FW,Chelsea,21,2001,13,6,454,5.0,1,0,1,1,0,0,0,0,2.4,2.4,0.2,2.5,11,6,37,0.2,0.0,0.2,0.2,0.2,0.47,0.03,0.5,0.47,0.5,Matches,ENG-EPL,23-24
97220da2,76,Armando Broja,ALB,FW,Fulham,21,2001,8,0,88,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,2,2,7,0.0,1.02,1.02,0.0,1.02,0.0,0.41,0.41,0.0,0.41,Matches,ENG-EPL,23-24
5f346071,77,Andre Brooks,ENG,"MF,DF",Sheffield Utd,19,2003,20,12,938,10.4,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12,18,22,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,ENG-EPL,23-24
dc4cae05,78,David Brooks,WAL,"FW,MF",Bournemouth,26,1997,13,2,282,3.1,1,1,2,1,0,0,1,0,2.2,2.2,1.0,3.2,8,21,27,0.32,0.32,0.64,0.32,0.64,0.7,0.33,1.03,0.7,1.03,Matches,ENG-EPL,23-24
ca18c8f1,79,Jacob Brown,SCO,"MF,FW",Luton Town,25,1998,19,12,1019,11.3,2,0,2,2,0,0,4,0,2.8,2.8,0.7,3.4,25,19,53,0.18,0.0,0.18,0.18,0.18,0.25,0.06,0.3,0.25,0.3,Matches,ENG-EPL,23-24
47369df8,80,Josh Brownhill,ENG,MF,Burnley,27,1995,33,23,2252,25.0,4,2,6,4,0,0,4,1,1.9,1.9,2.1,4.0,19,90,36,0.16,0.08,0.24,0.16,0.24,0.08,0.08,0.16,0.08,0.16,Matches,ENG-EPL,23-24
4e204552,81,Jacob Bruun Larsen,DEN,"MF,FW",Burnley,24,1998,32,16,1249,13.9,6,0,6,5,1,1,1,0,5.0,4.2,1.5,5.7,61,38,146,0.43,0.0,0.43,0.36,0.36,0.36,0.1,0.46,0.3,0.41,Matches,ENG-EPL,23-24
bfc3b3a0,82,Hugo Bueno,ESP,"DF,MF",Wolves,20,2002,22,7,741,8.2,0,0,0,0,0,0,1,0,0.3,0.3,0.8,1.0,22,8,40,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.13,0.03,0.13,Matches,ENG-EPL,23-24
edc98fac,83,Santiago Bueno,URU,DF,Wolves,24,1998,12,9,822,9.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,ENG-EPL,23-24
468a7a91,84,Facundo Buonanotte,ARG,"FW,MF",Brighton,18,2004,27,17,1364,15.2,3,1,4,3,0,0,7,0,2.4,2.4,1.8,4.2,23,42,69,0.2,0.07,0.26,0.2,0.26,0.16,0.12,0.28,0.16,0.28,Matches,ENG-EPL,23-24
a681b7b7,85,Reece Burke,ENG,DF,Luton Town,26,1996,22,20,1660,18.4,0,4,4,0,0,0,5,0,1.3,1.3,1.4,2.7,11,67,14,0.0,0.22,0.22,0.0,0.22,0.07,0.07,0.15,0.07,0.15,Matches,ENG-EPL,23-24
b2d31e83,86,Dan Burn,ENG,DF,Newcastle Utd,31,1992,33,32,2726,30.3,2,2,4,2,0,0,4,0,3.1,3.1,1.1,4.2,14,75,25,0.07,0.07,0.13,0.07,0.13,0.1,0.04,0.14,0.1,0.14,Matches,ENG-EPL,23-24
dab84ad2,87,Mason Burstow,ENG,FW,Chelsea,19,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ENG-EPL,23-24
16264a81,88,Moisés Caicedo,ECU,MF,Chelsea,21,2001,35,33,2866,31.8,1,3,4,1,0,0,11,0,0.4,0.4,2.6,3.0,27,173,27,0.03,0.09,0.13,0.03,0.13,0.01,0.08,0.09,0.01,0.09,Matches,ENG-EPL,23-24
a8748947,89,Tom Cairney,SCO,MF,Fulham,32,1991,34,14,1488,16.5,1,4,5,1,0,0,3,0,1.1,1.1,2.3,3.4,35,145,72,0.06,0.24,0.3,0.06,0.3,0.07,0.14,0.2,0.07,0.2,Matches,ENG-EPL,23-24
59e6e5bf,90,Dominic Calvert-Lewin,ENG,FW,Everton,26,1997,32,26,2171,24.1,7,2,9,5,2,2,2,0,12.9,11.4,3.1,14.5,36,31,122,0.29,0.08,0.37,0.21,0.29,0.54,0.13,0.66,0.47,0.6,Matches,ENG-EPL,23-24
4506aec5,91,Thomas Cannon,IRL,FW,Everton,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ENG-EPL,23-24
b4a014b1,92,Diego Carlos,BRA,DF,Aston Villa,30,1993,27,20,1816,20.2,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,4,59,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,ENG-EPL,23-24
fb920f3a,93,Cesare Casadei,ITA,"FW,MF",Chelsea,20,2003,11,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,ENG-EPL,23-24
